"Timestamp","¿Cuantos años tiene?","¿Usted trabaja?","¿Alguna vez usaste inteligencia artificial?","¿Confías en la inteligencia artificial?","¿En qué medida crees que la inteligencia artificial ha impactado en tu trabajo en los últimos años?","¿Te preocupa que la inteligencia artificial pueda remplazar tu puesto de trabajo en el futuro?","¿Cómo tomas el impacto de la inteligencia artificial en la creatividad en tu área de trabajo?","¿Qué tan familiarizado estás con los conceptos básicos de inteligencia artificial?","¿Cómo calificarías tu nivel de satisfacción con el impacto de la inteligencia artificial en tu trabajo? (1 Muy poco - 5 Muy Satisfecho)","¿Cuál es tu nivel de experiencia en el uso de tecnologías de inteligencia artificial?"
"2024/04/23 5:19:19 PM GMT-3","30-50","Si","Si","Si","Normal","No","Aumento la creatividad.","Muy familiarizado","5","Avanzado"
"2024/04/23 5:19:45 PM GMT-3","15-30","No","Si","Si","Positiva","Si","Aumento la creatividad.","Nada familiarizado","2","Normal"
"2024/04/23 5:21:03 PM GMT-3","15-30","No","Si","No","No impacto","No estoy seguro/a","No estoy seguro/a.","Nada familiarizado","5","Avanzado"
"2024/04/23 5:35:18 PM GMT-3","50+","No","Si","Si","Positiva","Si","Aumento la creatividad.","Nada familiarizado","5","Avanzado"
"2024/04/23 5:36:27 PM GMT-3","50+","No","No","No","No impacto","Si","Aumento la creatividad.","Muy familiarizado","5","Avanzado"
"2024/04/23 5:36:50 PM GMT-3","30-50","Si","Si","No","No impacto","Si","Aumento la creatividad.","Muy familiarizado","5","Avanzado"
"2024/04/23 5:37:23 PM GMT-3","15-30","No","No","Si","Positiva","No estoy seguro/a","Aumento la creatividad.","Algo familiarizado","4","Avanzado"
"2024/04/23 5:38:29 PM GMT-3","50+","Si","Si","No","Negativa","No","No estoy seguro/a.","Muy familiarizado","4","Normal"
"2024/04/23 5:39:01 PM GMT-3","30-50","No","Si","Si","No impacto","Si","Aumento la creatividad.","Muy familiarizado","5","Normal"
"2024/04/23 5:40:38 PM GMT-3","30-50","Si","Si","No","Positiva","Si","No estoy seguro/a.","Algo familiarizado","5","Normal"
"2024/04/23 5:41:28 PM GMT-3","30-50","No","Si","No","No impacto","No estoy seguro/a","No estoy seguro/a.","Muy familiarizado","2","Poco"
"2024/04/23 5:42:13 PM GMT-3","30-50","Si","Si","Si","Normal","Si","Disminuyo la creatividad.","Algo familiarizado","5","Normal"
"2024/04/23 5:45:58 PM GMT-3","15-30","No","Si","Si","Positiva","Si","Aumento la creatividad.","Algo familiarizado","5","Normal"
"2024/04/24 12:11:20 PM GMT-3","15-30","No","Si","Si","Positiva","Si","Aumento la creatividad.","Algo familiarizado","3","Avanzado"
"2024/04/24 12:27:43 PM GMT-3","30-50","Si","Si","No","Negativa","No","Disminuyo la creatividad.","Nada familiarizado","1","Poco"
"2024/04/24 2:18:46 PM GMT-3","30-50","No","No","Si","No impacto","No estoy seguro/a","No estoy seguro/a.","Bastante familiarizado","5","Normal"
